,Unnamed: 0,norm_intensity,norm_intensity_error,norm_volume,norm_volume_error,offset(hz),slp(hz),trelax(s)
1,1,0.3788191826667233,0.04384016986274643,0.399565248792318,0.01438206831321395,-3442.6408674733348,249.99929273984668,0.1
2,2,0.3654036182486641,0.04384016986274643,0.3735680369443231,0.01438206831321395,-3185.643381953335,249.99929273984668,0.1
3,3,0.4159581722198953,0.04384016986274643,0.3744881124451085,0.01438206831321395,-2928.6464960933345,249.99929273984668,0.1
4,4,0.3799657640267332,0.04384016986274643,0.3856822247438176,0.01438206831321395,-2671.649010573334,249.99929273984668,0.1
5,5,0.3528731306288533,0.04384016986274643,0.35155785383994337,0.01438206831321395,-2414.652124713334,249.99929273984668,0.1
6,6,0.4220125977050567,0.04384016986274643,0.3497960338734952,0.01438206831321395,-2157.6546391933343,249.99929273984668,0.1
7,7,0.35028835511526313,0.04384016986274643,0.3594181847173568,0.01438206831321395,-1900.6577533333332,249.99929273984668,0.1
8,8,0.4030138178168699,0.04384016986274643,0.3150718231712487,0.01438206831321395,-1838.624125653334,249.99929273984668,0.1
9,9,0.359749219472418,0.04384016986274643,0.3680388921268897,0.01438206831321395,-1776.5898983133347,249.99929273984668,0.1
10,10,0.35087404925366794,0.04384016986274643,0.2984678428585885,0.01438206831321395,-1714.556270633334,249.99929273984668,0.1
11,11,0.3616723827792245,0.04384016986274643,0.3430986256498745,0.01438206831321395,-1652.522642953334,249.99929273984668,0.1
12,12,0.3307873666830562,0.04384016986274643,0.30059754641646164,0.01438206831321395,-1590.4890152733344,249.99929273984668,0.1
13,13,0.34397906182911553,0.04384016986274643,0.32514929933691944,0.01438206831321395,-1528.454787933334,249.99929273984668,0.1
14,14,0.31764026733196143,0.04384016986274643,0.3155729114106362,0.01438206831321395,-1466.4211602533344,249.99929273984668,0.1
15,15,0.3170009125546065,0.04384016986274643,0.3365645816171512,0.01438206831321395,-1404.3875325733343,249.99929273984668,0.1
16,16,0.26196257919092225,0.04384016986274643,0.2874434827095236,0.01438206831321395,-1342.3533052333341,249.99929273984668,0.1
